
06-14 14:55:30.841 32424 32424 D BgTest  : uiCount 0
06-14 14:55:31.843 32424 32424 D BgTest  : uiCount 1
06-14 14:55:32.843 32424 32424 D BgTest  : uiCount 2
06-14 14:55:33.844 32424 32424 D BgTest  : uiCount 3
06-14 14:55:34.846 32424 32424 D BgTest  : uiCount 4
06-14 14:55:35.847 32424 32424 D BgTest  : uiCount 5
06-14 14:55:36.849 32424 32424 D BgTest  : uiCount 6
06-14 14:55:37.850 32424 32424 D BgTest  : uiCount 7
06-14 14:55:38.850 32424 32424 D BgTest  : uiCount 8
06-14 14:55:39.852 32424 32424 D BgTest  : uiCount 9
06-14 14:55:40.852 32424 32424 D BgTest  : uiCount 10
06-14 14:55:41.853 32424 32424 D BgTest  : uiCount 11
06-14 14:55:42.854 32424 32424 D BgTest  : uiCount 12
06-14 14:55:43.855 32424 32424 D BgTest  : uiCount 13
06-14 14:55:44.857 32424 32424 D BgTest  : uiCount 14
06-14 14:55:45.859 32424 32424 D BgTest  : uiCount 15
06-14 14:55:54.107 32424 32424 D BgTest  : uiCount 16
06-14 14:55:55.344 32424 32424 D BgTest  : uiCount 17
06-14 14:55:56.346 32424 32424 D BgTest  : uiCount 18
06-14 14:56:02.021 32424 32424 D BgTest  : uiCount 19
06-14 14:56:05.242 32424 32424 D BgTest  : uiCount 20
06-14 14:56:06.243 32424 32424 D BgTest  : uiCount 21
06-14 14:56:12.038 32424 32424 D BgTest  : uiCount 22
06-14 14:56:13.040 32424 32424 D BgTest  : uiCount 23  +1
06-14 14:56:14.041 32424 32424 D BgTest  : uiCount 24  +1
06-14 14:56:15.041 32424 32424 D BgTest  : uiCount 25  +1
06-14 14:56:16.242 32424 32424 D BgTest  : uiCount 26  +1
06-14 14:56:23.025 32424 32424 D BgTest  : uiCount 27  +1
06-14 14:56:24.026 32424 32424 D BgTest  : uiCount 28  +1
06-14 14:56:25.027 32424 32424 D BgTest  : uiCount 29  +1
06-14 14:56:26.028 32424 32424 D BgTest  : uiCount 30  +1
06-14 14:56:27.030 32424 32424 D BgTest  : uiCount 31  +1
06-14 14:56:28.031 32424 32424 D BgTest  : uiCount 32  +1
06-14 14:56:29.031 32424 32424 D BgTest  : uiCount 33  +1
06-14 14:56:30.033 32424 32424 D BgTest  : uiCount 34  +1
06-14 14:56:31.034 32424 32424 D BgTest  : uiCount 35  +1
06-14 14:56:32.036 32424 32424 D BgTest  : uiCount 36  +1
06-14 14:56:33.037 32424 32424 D BgTest  : uiCount 37  +1
06-14 14:56:34.039 32424 32424 D BgTest  : uiCount 38  +1
06-14 14:56:35.041 32424 32424 D BgTest  : uiCount 39  +1
06-14 14:56:36.041 32424 32424 D BgTest  : uiCount 40  +1
06-14 14:56:37.043 32424 32424 D BgTest  : uiCount 41  +1
06-14 14:56:38.044 32424 32424 D BgTest  : uiCount 42  +1
06-14 14:56:39.046 32424 32424 D BgTest  : uiCount 43  +1
